1663402756.199879,-0.562069,-0.387818,-0.236260,-0.691272
1663402756.209925,-0.557527,-0.387060,-0.234463,-0.695971
1663402756.219970,-0.553028,-0.387523,-0.231994,-0.700117
1663402756.230016,-0.548938,-0.388873,-0.228571,-0.703705
1663402756.240062,-0.544896,-0.390623,-0.224051,-0.707321
1663402756.250107,-0.540521,-0.392761,-0.218366,-0.711260
1663402756.260153,-0.535962,-0.395368,-0.211638,-0.715289
1663402756.270199,-0.531699,-0.398376,-0.204028,-0.719003
1663402756.280244,-0.528432,-0.402002,-0.195718,-0.721698
1663402756.290290,-0.526667,-0.406203,-0.187010,-0.722944
1663402756.300336,-0.526395,-0.410346,-0.178295,-0.723004
1663402756.310382,-0.527401,-0.414018,-0.169527,-0.722287
1663402756.320427,-0.529296,-0.417219,-0.160419,-0.721138
1663402756.330473,-0.531492,-0.420068,-0.151093,-0.719882
1663402756.340519,-0.533179,-0.422454,-0.141981,-0.719093
1663402756.350564,-0.534165,-0.424786,-0.133509,-0.718610
1663402756.360610,-0.534787,-0.427747,-0.125864,-0.717770
1663402756.370656,-0.535288,-0.431319,-0.119295,-0.716380
1663402756.380702,-0.535692,-0.434964,-0.114116,-0.714716
1663402756.390747,-0.535972,-0.438280,-0.110430,-0.713056
1663402756.400793,-0.536102,-0.441120,-0.108101,-0.711563
1663402756.410839,-0.536092,-0.443472,-0.106970,-0.710279
1663402756.420884,-0.535939,-0.445441,-0.106803,-0.709185
1663402756.430930,-0.535726,-0.447104,-0.107294,-0.708226
1663402756.440976,-0.535532,-0.448480,-0.108197,-0.707365
1663402756.451022,-0.535419,-0.449631,-0.109287,-0.706551
1663402756.461067,-0.535509,-0.450644,-0.110402,-0.705664
1663402756.471113,-0.535853,-0.451532,-0.111479,-0.704665
1663402756.481159,-0.536367,-0.452208,-0.112576,-0.703666
1663402756.491204,-0.536890,-0.452565,-0.113808,-0.702839
1663402756.501250,-0.537171,-0.452533,-0.115195,-0.702418
1663402756.511296,-0.537059,-0.452028,-0.116735,-0.702574
1663402756.521341,-0.536755,-0.451115,-0.118435,-0.703109
1663402756.531387,-0.536378,-0.449972,-0.120282,-0.703815
1663402756.541433,-0.536002,-0.448867,-0.122235,-0.704470
1663402756.551479,-0.535683,-0.447959,-0.124292,-0.704932
1663402756.561524,-0.535398,-0.447222,-0.126551,-0.705214
1663402756.571570,-0.535012,-0.446571,-0.128933,-0.705488
1663402756.581616,-0.534488,-0.446053,-0.131141,-0.705805
1663402756.591662,-0.533938,-0.445818,-0.132872,-0.706047
1663402756.601707,-0.533506,-0.446018,-0.134024,-0.706029
1663402756.611753,-0.533255,-0.446818,-0.134665,-0.705591
1663402756.621799,-0.533273,-0.448278,-0.134920,-0.704601
1663402756.631844,-0.533588,-0.450191,-0.134977,-0.703131
1663402756.641890,-0.534052,-0.452262,-0.134890,-0.701465
1663402756.651936,-0.534490,-0.454364,-0.134602,-0.699826
1663402756.661982,-0.534823,-0.456564,-0.134008,-0.698252
1663402756.672027,-0.535095,-0.458908,-0.133023,-0.696693
1663402756.682073,-0.535386,-0.461346,-0.131683,-0.695112
1663402756.692119,-0.535685,-0.463741,-0.130083,-0.693588
1663402756.702164,-0.535889,-0.466137,-0.128365,-0.692143
1663402756.712210,-0.535999,-0.468443,-0.126652,-0.690815
1663402756.722256,-0.536069,-0.470530,-0.125080,-0.689628
1663402756.732302,-0.536117,-0.472309,-0.123731,-0.688616
1663402756.742347,-0.536108,-0.473703,-0.122586,-0.687871
1663402756.752393,-0.536012,-0.474721,-0.121560,-0.687426
1663402756.762439,-0.535839,-0.475424,-0.120628,-0.687239
1663402756.772484,-0.535588,-0.475877,-0.119778,-0.687269
1663402756.782529,-0.535284,-0.476053,-0.119068,-0.687508
1663402756.792575,-0.534963,-0.475850,-0.118542,-0.687989
1663402756.802621,-0.534628,-0.475379,-0.118089,-0.688653
1663402756.812666,-0.534278,-0.474700,-0.117579,-0.689480
1663402756.822712,-0.533933,-0.474035,-0.116869,-0.690325
