1663402756.201135,2.730876,8.094631,5.027875,-0.236473,0.515064,1.215964
1663402756.211180,2.928663,8.469410,5.794789,-0.159954,0.299437,1.291283
1663402756.221226,3.226841,8.612290,6.519511,-0.160329,-0.005243,1.295118
1663402756.231272,3.194525,8.936350,6.027137,-0.253726,-0.220255,1.350784
1663402756.241317,2.398586,9.948628,5.336675,-0.370202,-0.368369,1.515771
1663402756.251363,1.702440,10.750700,5.327100,-0.463164,-0.527515,1.680485
1663402756.261409,1.404711,10.423797,5.508730,-0.554971,-0.702754,1.743466
1663402756.271454,1.388254,9.965235,5.593410,-0.637505,-0.949585,1.642750
1663402756.281500,1.655312,9.114987,6.249461,-0.700505,-1.254643,1.377042
1663402756.291546,1.794152,7.937837,6.713110,-0.773878,-1.456754,1.040706
1663402756.301592,1.795349,6.994979,6.286265,-0.888622,-1.536986,0.733924
1663402756.311637,2.025004,6.376781,5.823813,-1.042546,-1.575089,0.529837
1663402756.321683,2.377192,6.486746,5.389189,-1.160062,-1.587145,0.437497
1663402756.331729,2.713820,6.946206,4.898610,-1.188086,-1.489376,0.480417
1663402756.341774,2.780996,7.835801,4.148453,-1.099134,-1.348361,0.571049
1663402756.351820,3.130790,8.077575,4.386038,-0.902251,-1.321360,0.576355
1663402756.361866,3.449314,7.751869,5.030867,-0.661200,-1.350102,0.483696
1663402756.371912,3.471607,7.382027,4.829040,-0.430354,-1.284071,0.353198
1663402756.381957,3.325435,7.183641,4.216976,-0.229811,-1.105415,0.227455
1663402756.392003,3.268583,7.179751,3.873167,-0.064884,-0.879592,0.127578
1663402756.402049,3.332766,7.368262,3.690639,0.069838,-0.654199,0.047150
1663402756.412094,3.732381,7.549293,3.670891,0.182636,-0.461115,-0.013754
1663402756.422140,4.082923,7.715812,3.858056,0.261813,-0.316085,-0.058871
1663402756.432186,4.247048,7.759050,4.009613,0.299826,-0.210575,-0.096168
1663402756.442231,4.285498,7.755609,4.250639,0.304352,-0.141645,-0.125846
1663402756.452277,4.297916,7.790319,4.527870,0.284351,-0.115197,-0.162074
1663402756.462323,4.380053,7.699953,4.710547,0.248543,-0.114521,-0.208345
1663402756.472369,4.483286,7.588642,4.800614,0.211349,-0.099659,-0.246039
1663402756.482414,4.626016,7.529245,4.855971,0.185820,-0.041587,-0.259222
1663402756.492460,4.756179,7.485559,4.956959,0.173542,0.056611,-0.227171
