1663402756.068834,0.080024,0.030541,0.144261,0.725418,-0.222926,-0.192042,-0.622248
1663402756.085495,0.085276,0.030572,0.149431,0.724480,-0.215331,-0.192358,-0.625907
1663402756.102158,0.091350,0.030124,0.154089,0.721547,-0.210610,-0.193177,-0.630631
1663402756.118819,0.093603,0.029648,0.158359,0.717223,-0.206563,-0.196249,-0.635932
1663402756.135480,0.087286,0.029553,0.162435,0.714561,-0.202200,-0.201327,-0.638738
1663402756.152142,0.089886,0.029159,0.166473,0.712793,-0.199011,-0.206882,-0.639938
1663402756.168803,0.095215,0.028704,0.170414,0.712732,-0.198249,-0.211262,-0.638811
1663402756.185465,0.101089,0.028126,0.174340,0.715104,-0.201489,-0.212071,-0.634866
1663402756.202126,0.107066,0.027452,0.178389,0.719551,-0.207181,-0.210235,-0.628589
1663402756.218788,0.111848,0.027777,0.184443,0.726742,-0.209865,-0.210164,-0.619382
1663402756.235449,0.113929,0.029999,0.194083,0.733734,-0.210076,-0.211124,-0.610679
1663402756.252110,0.118531,0.030979,0.200095,0.741668,-0.210382,-0.213874,-0.599939
1663402756.268772,0.123505,0.031815,0.204775,0.750448,-0.209907,-0.218514,-0.587383
1663402756.285434,0.128633,0.032809,0.209054,0.758257,-0.206823,-0.226247,-0.575398
1663402756.302095,0.134081,0.033894,0.213459,0.765137,-0.199710,-0.237969,-0.563961
1663402756.318757,0.136873,0.035347,0.218242,0.767909,-0.193575,-0.251454,-0.556431
1663402756.335418,0.133670,0.037788,0.223688,0.769790,-0.187712,-0.266336,-0.548865
1663402756.352080,0.136054,0.038808,0.228395,0.771872,-0.183353,-0.278903,-0.541118
1663402756.368741,0.140215,0.039609,0.233046,0.774180,-0.177335,-0.288982,-0.534497
1663402756.385403,0.144993,0.040391,0.237755,0.776010,-0.170421,-0.296161,-0.530145
1663402756.402064,0.149896,0.041088,0.242377,0.777868,-0.163631,-0.300950,-0.526855
1663402756.418725,0.151374,0.042082,0.245143,0.778652,-0.159022,-0.302356,-0.526302
1663402756.435387,0.145705,0.043829,0.244438,0.779348,-0.155228,-0.302301,-0.526436
1663402756.452049,0.147114,0.044894,0.246773,0.779462,-0.152287,-0.301451,-0.527613
1663402756.468710,0.150852,0.045788,0.249978,0.779050,-0.149606,-0.300825,-0.529342
1663402756.485372,0.155442,0.046671,0.253418,0.778177,-0.147323,-0.300476,-0.531461
1663402756.502033,0.160370,0.047581,0.256975,0.777250,-0.146253,-0.299629,-0.533587
1663402756.518695,0.161203,0.048621,0.257882,0.777589,-0.146601,-0.298729,-0.533502
1663402756.535356,0.153684,0.049985,0.253411,0.777153,-0.147963,-0.297260,-0.534580
1663402756.552017,0.154720,0.051044,0.254812,0.776554,-0.149162,-0.295045,-0.536342
1663402756.568679,0.158608,0.051986,0.258332,0.775883,-0.149855,-0.292319,-0.538608
